time,I_cell,T_stack,P_ano,P_cat,m_dot_Osep,m_dot_Hsep,ARR1,ARR2,ARR3,ARR4,ARR5,ARR6,a1_upper,a1_lower,a2_upper,a2_lower,a3_upper,a3_lower,a4_upper,a4_lower,a5_upper,a5_lower,a6_upper,a6_lower,activation_arr1,activation_arr2,activation_arr3,activation_arr4,activation_arr5,activation_arr6,Fault_type
0.0,34.740430543626,311.61869890946,108495.036699023,1105004.96330098,0.0169900733980451,0.0100099266019549,-0.015163670127786,-2.49342899010491e-06,-2.30969693279651e-06,3.29382217998541e-05,3.29382218000773e-05,-2.03686818792633,0.0456597969539836,-0.0456597969539836,0.0001707328462912,-0.0001707328462912,0.0001009200978957,-0.0001009200978957,0.0170474082214884,-0.0170474082214884,0.0101503706180197,-0.0101503706180197,4.34767201379392,-4.34767201379392,0,0,0,0,0,0,2
0.2,34.7862184292102,311.80810355945,108494.953531979,1105005.04646802,0.0169899070639572,0.0100100929360428,-0.0048989269181253,1.12522280548568e-06,2.11877008094005e-06,8.78415427970885e-06,8.78415427987347e-06,-0.204686286614904,0.0453536745063269,-0.0453536745063269,0.0001697160736042,-0.0001697160736042,9.97837097912733e-05,-9.97837097912733e-05,0.0169515304889968,-0.0169515304889968,0.0100548273833789,-0.0100548273833789,3.11844581299839,-3.11844581299839,0,0,0,0,0,0,2
0.4,34.81155329503,311.947598268951,108494.94975048,1105005.05024952,0.0169898995009596,0.0100101004990404,-0.0118693949878662,-1.43788177147601e-06,-6.24162603552008e-07,2.41376895043361e-05,2.41376895044394e-05,-1.4803210134029,0.0453380871244887,-0.0453380871244887,0.0001694575018408,-0.0001694575018408,9.95299384372635e-05,-9.95299384372635e-05,0.0169493264885871,-0.0169493264885871,0.0100526385921572,-0.0100526385921572,3.57196241413067,-3.57196241413067,0,0,0,0,0,0,2
0.6,34.8217886483107,312.050248302771,108494.948187322,1105005.05181268,0.0169898963746447,0.0100101036253554,-0.0174276072747585,-1.07092560313689e-06,-4.08697574216013e-07,3.51546427972232e-05,3.51546427973341e-05,-1.54836577152059,0.0453759890119535,-0.0453759890119535,0.0001696404627276,-0.0001696404627276,9.97131950258146e-05,-9.97131950258146e-05,0.0169643932071422,-0.0169643932071422,0.0100677115977318,-0.0100677115977318,3.59575407394139,-3.59575407394139,0,0,0,0,0,0,2
0.8,34.8208807538876,312.125698754376,108494.948261301,1105005.0517387,0.0169898965226011,0.010010103477399,-0.0196520902744732,-4.26089425556574e-07,1.01241985854541e-07,3.75733863851641e-05,3.75733863852369e-05,-1.32384353311342,0.0455785676772817,-0.0455785676772817,0.0001704590221448,-0.0001704590221448,0.00010053153769,-0.00010053153769,0.0170328009461693,-0.0170328009461693,0.0101361190392187,-0.0101361190392187,4.00096748437023,-4.00096748437023,0,0,0,0,0,0,2
1.0,34.8117516155804,312.18106989399,108494.949543138,1105005.05045686,0.016989899086276,0.0100101009137241,-0.0123039663609065,1.25245077644418e-06,1.55794752453208e-06,1.66477701183588e-05,1.66477701183775e-05,0.270459690611542,0.0456544832016831,-0.0456544832016831,0.000170633666682,-0.000170633666682,0.0001007055298405,-0.0001007055298405,0.0170603751763398,-0.0170603751763398,0.0101636881138388,-0.0101636881138388,3.57210004199264,-3.57210004199264,0,0,0,0,0,0,2
1.2,34.7965584192562,312.221618107078,108494.951715912,1105005.04828409,0.0169899034318244,0.0100100965681755,-0.0041915672525314,1.50322102913694e-06,1.60137564866073e-06,-6.46838345884254e-06,-6.46838345881046e-06,1.41406737022823,0.0454312963319004,-0.0454312963319004,0.0001700433101383,-0.0001700433101383,0.0001001150815667,-0.0001001150815667,0.0169909654952361,-0.0169909654952361,0.0100942696938371,-0.0100942696938371,3.53476037079203,-3.53476037079203,0,0,0,0,0,0,2
1.4,34.7768932098765,312.251223805104,108494.954545725,1105005.04545428,0.0169899090914499,0.0100100909085501,-0.0088871603843048,-5.37208519828607e-07,-4.54197639707659e-07,9.13411799840567e-07,9.134117998424e-07,0.333375492041757,0.045516346485102,-0.045516346485102,0.0001702505501396,-0.0001702505501396,0.000100322602891,-0.000100322602891,0.0170214389840966,-0.0170214389840966,0.0101247318011909,-0.0101247318011909,3.48180724742621,-3.48180724742621,0,0,0,0,0,0,2
1.6,34.7539306693342,312.272751611705,108494.957859993,1105005.04214001,0.0169899157199867,0.0100100842800133,-0.0084376431270786,3.32174780444575e-07,3.51895520284982e-07,-4.18002730919351e-06,-4.18002730919544e-06,1.01263250261838,0.0453548808489925,-0.0453548808489925,0.0001698035921623,-0.0001698035921623,9.98756495521456e-05,-9.98756495521456e-05,0.0169720861044206,-0.0169720861044206,0.0100753655915274,-0.0100753655915274,3.42507649923731,-3.42507649923731,0,0,0,0,0,0,2
1.8,34.7285373781143,312.288316262705,108494.9615314,1105005.0384686,0.0169899230627992,0.0100100769372008,-0.0155257812295951,-8.95693231546503e-07,-8.30687229216204e-07,8.67422720380385e-06,8.67422720374997e-06,-0.0150468331085647,0.0453896550994539,-0.0453896550994539,0.0001698571718803,-0.0001698571718803,9.99292347926674e-05,-9.99292347926674e-05,0.0169862582155855,-0.0169862582155855,0.0100895229362963,-0.0100895229362963,3.26456011812374,-3.26456011812374,0,0,0,0,0,0,2
2.0,34.701352541957,312.299478902582,108494.965466031,1105005.03453397,0.0169899309320621,0.0100100690679379,-0.0189192970254304,-3.01017395059775e-07,-2.29321312008624e-07,1.26230142005685e-05,1.26230142005392e-05,0.0559798295279952,0.0455016352521078,-0.0455016352521078,0.0001703124346166,-0.0001703124346166,0.0001003843092983,-0.0001003843092983,0.0170254673671707,-0.0170254673671707,0.0101287162627939,-0.0101287162627939,3.48725135308214,-3.48725135308214,0,0,0,0,0,0,2
